,period_start,east scotland,north scotland,west scotland,northern ireland,east midlands,east of england,london,north east england,north west england,south east england,south west england,wales,west midlands,yorkshire and humber,daycount
1669,2001-02-01,108-32058,102-65505,95-41976,68-50052,71-12062,84-24803,90-76487,118-48478999999999,108-15011000000001,98-97418,86-33910999999999,131-15878999999998,71-88648,99.53886,28
1670,2001-03-01,86-69765,70-95756999999999,75-78389,68-87664000000001,61-421490000000006,89-14565,99-83836,51-67755,58-566390000000006,117-6677,138-68355,115-42811,73-09939,52.87973,31
1671,2001-04-01,63-03511999999999,76-55386999999999,88-27398000000001,74-54749,89-25414,73-18585999999999,75-50986999999999,87-28705,115-67948999999999,78-17676999999999,102-82737,141-10374,96-18766,92.27566,30
1672,2001-05-01,26-07455,58-08084,39-709720000000004,50-88341,53-43861999999999,39-93844,40-473420000000004,18-61495,51-56643,32-93632,32-41297,59-204330000000006,59-064330000000005,29.896079999999998,31
1673,2001-06-01,65-82765,97-6651,97-73504,65-35466,34-75866,36-7979,29-22555,70-61367,61-34754,23-10738,35-62117,47-43359,38-16525,51.56238,30
1674,2001-07-01,83-15902,100-97015,117-78233,62-47831,80-80946,80-38189,50-84042,63-82496999999999,59-823980000000006,56-941880000000005,80-17106,110-95216,72-36610999999999,41.91361,31
1675,2001-08-01,103-72854,118-47855,124-14118,110-40123999999999,65-79977,72-27654,77-22026,86-33728,109-95125,81-20051,71-39934000000001,131-8888,67-55936,85.13322,31
1676,2001-09-01,79-07975,130-96352,108-42001,57-81482,77-73286,85-67433,68-49181999999999,92-43903,126-72265,74-56353,45-500009999999996,96-69126999999999,50-22635,101.1187,30
1677,2001-10-01,183-73641,279-04958,240-69706000000002,112-63524,92-84604,86-3719,119-77785,106-25826,157-36436,129-1571,147-90918,206-72908999999999,115-88429,106.39433000000001,31
1678,2001-11-01,86-55715,192-30252,159-84146,77-65353,41-15636,52-21706,44-3339,56-040240000000004,105-61362,41-26294,70-84156,129-6016,42-46141,52.3984,30
1679,2001-12-01,74-08352,155-20779,103-42255,82-15607,28-19245,24-14442,21-72024,67-46519,72-77615,25-44337,41-65011,75-42031,29-27197,47.512409999999996,31
1680,2002-01-01,161-00433,237-91252999999998,229-59957000000003,126-84858,47-23478,45-15609,56-4172,73-58598,133-51158999999998,80-21611999999999,128-53797,179-83454,62-35886,64.38962,31
1681,2002-02-01,178-77751,267-22943,281-5581,164-74568,77-53886999999999,56-640919999999994,75-44945,141-98695,226-18236000000002,95-70376,152-24016,266-35053999999997,100-87886999999999,138.3226,28
1682,2002-03-01,87-78617,150-10641999999999,133-90017,73-28823,31-90803,35-710609999999996,43-26308,50-9985,62-614509999999996,44-43074,66-55761,65-98761999999999,34-85195,40.407270000000004,31
1683,2002-04-01,56-75846,100-48862,110-25712,102-14504000000001,36-467890000000004,32-38491,38-852940000000004,34-75875,77-3857,42-4411,59-23831,99-45764,43-75588,40.6122,30
1684,2002-05-01,109-15343999999999,89-9452,145-58255,135-58841999999999,60-65152,57-91562,73-49768,62-834480000000006,117-62298,87-06916,122-80037,148-74335,76-47333,72.10539,31
1685,2002-06-01,115-78867,129-48559,175-96933,119-50988999999998,35-50891,33-838640000000005,59-73138,76-51075,100-65724,56-31426999999999,52-87014,76-01603,41-86651,54.7608,30
1686,2002-07-01,138-45025,125-21161000000001,114-91685,104-90751000000002,119-97285,69-27004000000001,68-86801,77-57789,99-32113000000001,73-72514,75-98753,73-66326,69-31634,99.62574000000001,31
1687,2002-08-01,100-73863,70-90393,106-06411999999999,57-13244,57-21227,54-977340000000005,62-61719,89-98872,103-33315,45-9464,43-67372,75-19088,54-30914,108.63008,31
1688,2002-09-01,36-64885,54-675169999999994,64-05028,42-10717,31-1877,30-500159999999997,26-2661,31-346109999999996,53-34932,37-12944,31-9155,36-27055,29-15815,33.02623,30
1689,2002-10-01,206-63835,153-17845,207-72593,200-83652,109-48966000000001,85-46833000000001,64-94628,147-83424,155-43613,90-69245,160-0632,199-1599,126-91096999999999,123.31882,31
1690,2002-11-01,182-57851000000002,146-90248,209-13421,192-65983,106-94605,105-49873999999998,138-14205,103-47836,152-52499,173-2336,212-4888,230-766,105-83573,117.53554,30
1691,2002-12-01,99-20472,48-97413,85-98313,90-03537,106-15231000000001,99-30514000000001,125-92561,113-21873000000001,126-75391,136-90691,151-18553,172-68358,99-69273000000001,119.71276999999999,31
1692,2003-01-01,118-92556,213-41019,156-41976,107-53513999999998,66-17453,80-22094,72-65994,89-3391,97-85168,85-3592,93-55485999999999,114-99788999999998,55-478680000000004,77.01446999999999,31
1693,2003-02-01,40-17286,69-8285,79-80533,68-6265,20-874589999999998,17-11281,22-2863,25-18541,54-5322,30-05149,59-920759999999994,63-76886,28-95325,31.886290000000002,28
1694,2003-03-01,57-5546,99-84004,85-79575,48-31005,26-04685,17-57711,17-43475,35-4377,65-11053000000001,23-770960000000002,38-11612,77-68509,29-8766,32.95753,31
1695,2003-04-01,58-838730000000005,60-02182,58-704809999999995,52-65212,29-26865,25-06107,25-28977,32-18927,61-07216999999999,35-605579999999996,51-52932,78-88691999999999,44-28221,41.95807,30
1696,2003-05-01,109-47241000000001,151-27827,150-16287,127-87935,55-66234,45-52839,39-64515,79-71126,118-96976000000001,45-27006,66-36816,128-89139,64-11918,75.11968,31
1697,2003-06-01,53-8223,84-00088000000001,90-19379,86-4088,86-59948,63-8282,43-48489,71-38545,76-24238000000001,46-15979,58-506859999999996,70-77215,53-494080000000004,89.06676,30
1698,2003-07-01,65-12311,75-04723,108-45875,93-91495,59-39631,55-067330000000005,36-8885,48-74845,93-31201,54-919869999999996,95-76203000000001,124-75395,64-49498,58.05749,31
1699,2003-08-01,24-96048,59-3407,46-78159,22-736,10-880469999999999,5-62868,11-15662,16-521929999999998,20-67812,17-45325,19-69752,24-70703,19-44314,21.927670000000003,31
1700,2003-09-01,50-888220000000004,102-32364,98-99844,65-43670999999999,23-17302,21-15258,14-944410000000001,52-991769999999995,87-7536,13-111770000000002,19-43645,58-233990000000006,26-96701,48.01941,30
1701,2003-10-01,51-222429999999996,106-85803999999999,66-56614,51-99109,44-86486,39-87766,34-39698,52-12312,51-876740000000005,49-902,71-96401999999999,91-52034,55-84375,41.60757,31
1702,2003-11-01,116-64537,159-5885,213-49561,115-06568999999999,59-45182,85-15334,117-04888999999999,56-09243000000001,129-7358,139-7057,113-64177,140-45853,52-98228,68.55622,30
1703,2003-12-01,116-46738,200-04676,176-07848,95-50493,75-11258000000001,60-25026,58-65286,88-54006,138-98713,83-01518,113-33775,161-32244,84-57804,81.80006,31
1704,2004-01-01,133-30662,241-83427000000003,237-38346,132-23744,84-34671999999999,83-48268,82-32196,122-35838999999999,166-46103,99-63671,141-2156,192-58565,92-47063,116.65853,31
1705,2004-02-01,65-55464,152-35655,88-72849000000001,50-781009999999995,35-721740000000004,37-389790000000005,26-61089,61-46535,88-82257,30-83267,56-374269999999996,119-79432,35-96443,56.839040000000004,29
1706,2004-03-01,70-47513000000001,108-20905,115-46323000000001,86-713,32-1479,33-08376,32-8879,52-069559999999996,69-84504,42-15988,70-56413,90-28663,39-5117,42.71535,31
1707,2004-04-01,108-11366000000001,133-52132,125-16103999999999,79-23088,86-05979,59-09386,62-2969,66-77675,73-84384,76-33859,79-58095,81-75339,86-7651,98.69100999999999,30
1708,2004-05-01,51-386340000000004,67-10996,64-65493000000001,48-10426,40-10136,44-48335,54-11346999999999,29-12146,46-110490000000006,52-19849,43-874829999999996,66-31004,44-77494,30.849870000000003,31
1709,2004-06-01,117-13168999999999,139-26391,133-79398,108-48548000000001,50-49243,39-40538,33-82629,94-98550999999999,91-54642,30-318720000000003,54-358219999999996,73-91152,48-00628,71.57674,30
1710,2004-07-01,62-179919999999996,79-92237,85-43901,62-76149,81-25443,70-5766,43-00675,71-55059,74-84647,51-28658,63-86165,78-4184,52-39901,74.95851,31
1711,2004-08-01,200-40926000000002,161-75488,220-23477999999997,114-54708000000001,151-14337,117-02516999999999,102-75746,192-97645,226-39678999999998,109-31828,123-60643999999999,156-91558,134-63111999999998,180.93927,31
1712,2004-09-01,92-85562,216-36484,204-58673000000002,105-72735,42-76879,29-666240000000002,19-406370000000003,41-3124,136-11703,33-22122,58-87555,144-34302,55-2916,40.3502,30
1713,2004-10-01,201-39181000000002,200-78695,211-82974,133-39248,105-84411000000001,88-54829000000001,100-86077,147-08925,162-75948,125-02446,171-52826000000002,256-54539,118-10758999999999,128.16943,31
1714,2004-11-01,61-14816,165-97034,120-88083,60-316590000000005,43-17282,45-537620000000004,34-730909999999994,34-91498,82-11587,36-47769,46-127390000000005,90-42401,44-76833,40.06588,30
1715,2004-12-01,93-90983,251-43173,214-53024,106-57515,26-56083,29-413359999999997,46-26279,53-13581,129-28776000000002,54-752219999999994,86-73735,132-33113,38-85781,47.1794,31
1716,2005-01-01,162-45793,297-54967,235-28963,134-75776000000002,29-7615,28-823040000000002,23-43006,91-26046,136-83763000000002,35-40415,72-53104,123-42661000000001,30-379179999999998,68.28708,31
1717,2005-02-01,83-5064,134-98833,98-66554000000001,59-777609999999996,46-28156,40-51469,25-60238,68-54234,67-19227,25-2674,38-220890000000004,77-81961,42-36911,61.68445,28
1718,2005-03-01,81-89801999999999,138-70408999999998,107-6765,76-66705999999999,29-16931,31-623459999999998,37-836659999999995,66-01916999999999,57-64441,49-256370000000004,60-37449,74-71141,59-615219999999994,41.25434,31
1719,2005-04-01,107-50025,127-05656,131-26158,92-34871,48-92796,38-3675,40-84252,102-40935,105-91336000000001,48-72099,82-92291,114-256,56-4032,83.84569,30
1720,2005-05-01,96-81286,116-31651000000001,136-0846,103-13247,36-10242,39-19914,21-66156,51-78048,78-02003,31-819029999999998,54-2156,62-873180000000005,34-32866,41.556490000000004,31
1721,2005-06-01,83-0279,115-5148,110-17103,55-784169999999996,51-02856,45-67341,27-384840000000004,46-49495,64-45779,34-10905,72-10731,74-44639000000001,60-33295,52.02052,30
1722,2005-07-01,38-92617,60-008,41-61331,45-8443,62-3219,52-01545,40-56337,83-462,54-19011,59-6044,63-827119999999994,86-77463,69-08001999999999,74.29160999999999,31
1723,2005-08-01,77-57822,175-52725,136-66205,90-74202,74-32455,54-79126,49-9327,52-44075,86-45188,55-39289,43-93602,69-44686,40-51958,62.7619,31
1724,2005-09-01,71-31875,182-24653999999998,149-17958000000002,89-16639,64-4502,61-33733,56-016630000000006,72-86372,102-22205,42-07419,56-39649,101-56056,52-94263,65.66885,30
1725,2005-10-01,179-32424,165-36861000000002,215-4193,129-34399,71-19481999999999,65-8884,80-0085,120-64941,163-05886999999998,91-30235,144-35109,216-83791000000002,106-89246999999999,90.96238000000001,31
1726,2005-11-01,128-02545,222-20923,143-67585,81-90743,44-02428,39-81504,31-92734,91-67125,129-20276,51-74514,107-98171,185-03116,67-5296,78.70314,30
1727,2005-12-01,78-03426999999999,107-10943,105-71531,111-97763,41-50855,32-10342,36-90309,54-33116999999999,77-75676999999999,63-8824,100-86695,112-87061000000001,58-07009,49.581309999999995,31
1728,2006-01-01,68-54008,122-2941,131-67823,50-92067,20-962870000000002,15-610610000000001,18-044629999999998,33-33635,71-88785,23-03227,33-22201,66-15393,18-06092,30.7462,31
1729,2006-02-01,65-24559,98-71698,87-70911,46-63864,41-27312,38-00182,43-94232,52-16486,71-60761,54-10954,66-89362,79-68621,37-02898,53.6355,28
1730,2006-03-01,129-51067,127-64348999999999,159-04818999999998,143-52925,54-821490000000004,37-83538,45-910270000000004,103-05293,148-66253999999998,56-80256,95-63880999999999,173-47146999999998,68-79441,106.98996000000001,31
1731,2006-04-01,46-433440000000004,152-5319,107-95985,72-4175,42-24876,34-167840000000005,41-4546,36-11437,77-17589,39-8628,30-96398,68-13596,38-48722,49.6325,30
1732,2006-05-01,95-45618,126-69091999999999,131-0439,114-11245,88-96324,81-20796999999999,79-91409,92-20015,118-06687,94-48635999999999,114-05102,164-2995,107-28701000000001,109.08498,31
1733,2006-06-01,51-421490000000006,84-20938000000001,88-62105,36-07052,13-21843,19-908079999999998,20-18299,24-64732,44-21215,17-2136,35-60737,35-09541,16-3662,18.38138,30
1734,2006-07-01,53-67519,77-76626999999999,79-45011,67-81435,51-08852,28-96957,26-60595,19-759179999999997,47-275,39-750040000000006,56-06933000000001,51-33494,36-99921,36.22742,31
1735,2006-08-01,80-75726999999999,102-15323000000001,105-80125,91-54325,92-28569,106-08458,64-79956999999999,96-97798,120-87501,65-19722,52-27281,102-06246,74-04446,122.34343,31
1736,2006-09-01,125-02126000000001,138-90653,195-09451,137-29684,67-1943,56-459,70-87988,76-07876,107-34121,70-18985,70-89941,82-52774000000001,71-44408,79.6747,30
1737,2006-10-01,148-94467,238-23772000000002,177-70608000000001,126-13751,77-89203,66-40648,75-47608000000001,97-43536999999999,159-3173,117-98188,137-68368999999998,187-54636000000002,92-60645,91.24877,31
1738,2006-11-01,164-87384,256-06145,304-04572,131-33945,65-44448,66-58802,79-34302,70-3604,150-33061999999998,92-3213,142-0547,197-55434,78-27148000000001,77.41315,30
1739,2006-12-01,186-4954,299-4567,288-67942,138-63519,65-83391999999999,55-20806999999999,71-22898,111-814,218-09712000000002,101-77031,130-73761000000002,258-02231,95-26826,112.02253999999999,31
1740,2007-01-01,155-65301000000002,296-25274,246-8188,128-13199,70-29037,65-17617,60-21026,100-77998000000001,164-82776,76-71715,112-89238,202-33055,77-62876999999999,108.27685,31
1741,2007-02-01,123-36141,134-28116,136-75144,87-18454,69-68465,64-95515999999999,92-57224000000001,76-39344,88-68808,101-2886,148-43108999999998,145-41127,87-49564000000001,80.27646999999999,28
1742,2007-03-01,93-96,167-90033,144-73452,81-23353,44-414640000000006,38-98955,40-60648,41-592,76-36350999999999,53-72094,79-56549,103-74311,61-56566,42.47906,31
1743,2007-04-01,28-071709999999996,68-64314,59-21726999999999,28-6654,5-96583,0-9534799999999999,2-62297,14-775770000000001,37-39488,1-9547700000000001,12-36611,24-75923,10-01432,10.00127,30
1744,2007-05-01,102-03148,157-54463,116-53483999999999,71-53656,104-52036,118-35893,89-62006,66-92489,92-35786999999999,107-16814,137-94093,129-51972,115-00842,78.8077,31
1745,2007-06-01,127-86108999999999,81-88569,132-0881,148-96715,170-30714,99-99118,63-18233000000001,158-79882,166-71993,101-76158000000001,132-91878,168-13786000000002,167-35961,215.31572000000003,30
1746,2007-07-01,136-4545,141-45236,119-03584,129-29272,125-16257,74-0237,91-19117,109-18783,160-09089,119-44835,140-21171,203-88241000000002,161-82416,117.24568000000001,31
1747,2007-08-01,103-67628,160-40559,143-5108,105-54813999999999,39-504940000000005,53-75854,43-10498,47-56859,81-02385,52-283570000000005,69-95534,75-7143,33-80423,41.74066,31
1748,2007-09-01,56-21699,129-90765,105-24351000000001,56-592290000000006,33-00715,34-13752,23-803829999999998,45-5746,94-9492,30-4022,43-41571,91-54086,32-45697,49.51144,30
1749,2007-10-01,51-50349,124-65081,116-08393999999998,55-9676,37-109140000000004,52-611180000000004,39-07767,28-68279,62-43411,47-42837,51-95355,61-04659,35-99771,30.86583,31
1750,2007-11-01,119-51988,192-02048,147-358,87-2921,50-95016,40-94365,68-75268,72-63483000000001,95-50735999999999,79-71852,88-48807,92-89712,60-60381999999999,68.52951,30
1751,2007-12-01,94-1368,165-91011,162-59706,113-10053,55-724030000000006,45-53165,48-4217,86-64883,163-38484,63-5257,119-35931000000001,183-31614,73-69431999999999,87.50353,31
1752,2008-01-01,240-52114,283-94536,299-84699,186-63287,106-96368999999999,70-65722,74-94098000000001,151-3332,223-84571,103-04947,137-04977,245-42597,104-17235,170.9548,31
1753,2008-02-01,92-12483,208-86565,158-59301000000002,60-6237,28-001720000000002,18-72229,13-8984,37-36683,76-7645,25-178179999999998,45-61238,79-9892,33-242540000000005,45.458090000000006,29
1754,2008-03-01,111-04626,190-68489,189-32699,132-62546,73-83165,83-26971999999999,76-68153000000001,74-09385,114-8955,89-0386,115-01741000000001,146-88772,79-99042,87.43598,31
1755,2008-04-01,93-80846,109-03735,82-80738000000001,46-132740000000005,55-708769999999994,45-46255,54-296009999999995,94-40843000000001,73-77073,61-64815,62-216080000000005,89-95166,65-71769,76.97296,30
1756,2008-05-01,29-42202,21-43675,29-28862,19-0372,47-37843,67-97418,74-66199,21-6493,32-38193,86-10913000000001,100-4039,60-837430000000005,65-41708,25.22289,31
1757,2008-06-01,90-887,112-55126000000001,120-01531999999999,75-75549000000001,49-99855,43-45033,32-7201,85-94301999999999,107-76507,44-70225,49-52284,93-89084,36-97205,82.48603,30
1758,2008-07-01,104-79418000000001,87-48573,142-07595,122-5615,70-74888,54-54299,59-85852,129-96991,134-29412,74-29474,140-2594,150-13713,99-82436,115.57255,31
1759,2008-08-01,163-01289,126-36491000000001,192-30308,207-07612,84-93412,80-66411,63-354209999999995,126-89538999999999,151-05569,76-0375,125-78294,189-10386,97-28324,123.5538,31
1760,2008-09-01,93-1472,99-48979,133-96976,118-25188,85-3788,51-80199,47-454390000000004,148-88853,141-36401999999998,72-46566,103-19175,154-17672,108-0011,103.87147,30
1761,2008-10-01,149-94138999999998,269-62281,287-3122,145-4976,62-99531999999999,60-442840000000004,45-83876,92-60866999999999,226-00509,63-240590000000005,108-19273999999999,227-98201,78-63093,85.20051,31
1762,2008-11-01,79-35931,201-20331000000002,131-68982,80-61465,76-32952,80-92371,73-55123,60-68264,87-0497,98-75001999999999,90-27086,127-53621000000001,76-59866,65.36616,30
1763,2008-12-01,102-56615,148-55111000000002,153-3146,79-13593,44-71861,27-13737,35-59856,68-10653,101-69541,41-73831,74-65550999999999,94-65151999999999,49-02905,70.92605,31
1764,2009-01-01,122-31513999999999,172-40072,203-3701,134-62209,53-97585,47-18872,70-04538000000001,69-29039,133-62999,85-91875999999999,119-03562,167-91079,68-5412,66.18049,31
1765,2009-02-01,56-487269999999995,118-2257,57-444340000000004,37-8804,46-33388,58-60734,65-26086,48-56004,28-2935,65-00016,73-81719,32-72022,32-01275,43.938190000000006,28
1766,2009-03-01,82-5677,196-53479,146-16613,64-02623,29-117340000000002,35-3386,32-84932,37-55622,69-11025,35-98815,53-260819999999995,67-71154,28-07023,35.1202,31
1767,2009-04-01,54-56896999999999,79-83442,112-62626999999999,110-13126000000001,26-2648,15-95645,28-24823,37-786590000000004,49-95385,40-2161,62-457269999999994,76-80024,47-1569,33.54998,30
